	arrow-move-down	direction, south, bottom	Kierunek, południe, dół	1	Arrows				Ilość zrobionych:
	arrow-move-left	direction, west	Kierunek, zachód	1	Arrows				256
	arrow-move-right	direction, east	Kierunek, wschód	1	Arrows
	arrow-move-up	direction, north, top	Kierunek, północ, góra	1	Arrows				128 zł
	arrows-diff	direction, right, left, west, east	kierunek, prawy, lewy, zachód, wschód	1	Arrows
	arrows-transfer-down	direction, south, bottom	Kierunek, południe, dół	1	Arrows
	arrows-transfer-up	direction, north, top	Kierunek, północ, góra	1	Arrows				https://www.iconfinder.com/
	augmented-reality-2	technology, dimensional, geometry	Technologia, wymiar, geometria	1					https://tabler-icons.io/
	bleach	clothing, washing, chemical, laundry	odzież, pranie, chemikalia, pranie	1	Laundry				https://www.deepl.com/translator
	bleach-chlorine	clothing, washing, chemical, laundry, detergent, clean	odzież, pranie, chemikalia, pranie, detergent, czysty	1	Laundry
	bleach-no-chlorine	clothing, washing, chemical, laundry	odzież, pranie, chemikalia, pranie	1	Laundry
	bleach-off	clothing, washing, chemical, laundry	odzież, pranie, chemikalia, pranie	1	Laundry
	box-align-bottom	rectangle, side, down, south	prostokąt, boku, w dół, na południe	1	Design
	box-align-bottom-left	cube, side, down, south-west	kostka, bok, w dół, na południowy zachód	1	Design
	box-align-bottom-right	cube, side, down, south-east	kostka, bok, w dół, na południowy wschód	1	Design
	box-align-left	rectangle side, west	Strona prostokąta, zachód	1	Design
	box-align-right	rectangle, side, east	prostokąt, bok, wschód	1	Design
	box-align-top	rectangle, side, up, north	prostokąt, boku, w górę, na północ	1	Design
	box-align-top-left	cube, side, up, north-west	kostka, bok, w górę, na północny zachód	1	Design
	box-align-top-right	cube, side, up, north-east	kostka, bok, w górę, na północny wschód	1	Design
	brand-algolia			0	Brand		??
	brand-alpine-js	javascript, programming, coding	JavaScript, programowanie, kodowanie	1	Brand
	brand-backbone	javascript, programmers, creation, websites	JavaScript, programistów, tworzenie, strony internetowe	1	Brand
	brand-blender	software, graphic, 3D, animation	oprogramowanie, grafika, 3D, animacja	1	Brand
	brand-blogger	media, blogging, internet, social, site	Media, blogowanie, Internet, Social, strona	1	Brand
	brand-bulma	programming, coding, html, css 	programowanie, kodowanie, HTML, CSS	1	Brand
	brand-campaignmonitor	technology, e-mail, site, cm, group	Technologia, e-mail, strona, CM, grupa	1	Brand
	brand-carbon			0	Brand		??
	brand-cashapp	payment, finance, mobile, app, money, transfer	płatność, finanse, telefon komórkowy, aplikacja, pieniądze, przelew	1	Brand
	brand-codecov	coding, analysis, archive, merge	Kodowanie, analiza, archiwum, scalanie	1	Brand
	brand-couchsurfing	app, website, accommodation, lodging	Aplikacja, strona internetowa, zakwaterowanie, zakwaterowanie	1	Brand
	brand-dcos	os, operating, system, cloud, services, networking	OS, działanie, system, chmura, usługi, sieci	1	Brand
	brand-django	creation, web, application, framework	tworzenie, sieć, aplikacja, framework	1	Brand
	brand-drupal	software, content, management, creation, application	oprogramowanie, treść, zarządzanie, tworzenie, aplikacja	1	Brand
	brand-envato	community, creative, resources, tools	społeczność, kreatywność, zasoby, narzędzia	1	Brand
	brand-flutter	tools, programmer, creation, aplication	narzędzia, programista, tworzenie, aplikacja	1	Brand
	brand-gatsby	framework, webpage, creation, software	ramy, strona internetowa, tworzenie, oprogramowanie	1	Brand
	brand-google-fit	health, tracking, platform, software	Zdrowie, śledzenie, platforma, oprogramowanie	1	Brand
	brand-grammarly	text, editor, detects, mistakes, grammar	tekst, redaktor, wykrywa, błędy, gramatyka	1	Brand
	brand-graphql	software, communication, server	oprogramowanie, komunikacja, serwer	1	Brand
	brand-headlessui	tailwind, css, js, javascript	Tailwind, CSS, JS, JavaScript	1	Brand		??
	brand-inertia			0	Brand		??
	brand-laravel	framework, software, php, modular, application, building, system	Framework, oprogramowanie, php, modułowy, aplikacja, budowa, system	1	Brand
	brand-mailgun	delivery, service, tracking, pickup	dostawa, usługa, śledzenie, odbiór	1	Brand
	brand-mantine	creation, web, application, development	Tworzenie, sieć, aplikacja, programowanie	1	Brand
	brand-mixpanel	analytics, buisness, software, application	Analytics, Buisness, oprogramowanie, aplikacja	1	Brand
	brand-nord-vpn	protects, device, software	Chroni, urządzenie, oprogramowanie	1	Brand
	brand-office	text, editor, software, word, excel	tekst, edytor, oprogramowanie, słowo, program Excel	1	Brand
	brand-ok-ru	socialmedia, message, posts	Socialmedia, wiadomość, posty	1	Brand
	brand-openvpn	software, creating, secure, connection	oprogramowanie, tworzenie, bezpieczne, połączenie	1	Brand
	brand-peanut			0	Brand		??
	brand-pushbullet	data, transfer, tool, software	Dane, transfer, narzędzie, oprogramowanie	1	Brand
	brand-react	library, javascript, creation, interface, software	Biblioteka, JavaScript, tworzenie, interfejs, oprogramowanie	1	Brand
	brand-redhat	software, entrepreneurship, creation	oprogramowanie, przedsiębiorczość, tworzenie	1	Brand
	brand-redux	library, javascript, menagment, centralization, application, status	Biblioteka, JavaScript, Menagment, centralizacja, zastosowanie, status	1
	brand-storybook	tool, creation, interface, application	narzędzie, tworzenie, interfejs, aplikacja	1	Brand
	brand-trello	visual, tool, board, kanban	Wizualne, narzędzie, tablica, Kanban	1	Brand
	brand-unity	engine, creation, 3d, 2d	silnik, stworzenie, 3D, 2d	1	Brand
	brand-upwork	freelancer, software, finance	Freelancer, oprogramowanie, finanse	1	Brand
	brand-valorant	game, fps, videogame, shooter	Gra, FPS, gra wideo, strzelanka	1	Brand
	brand-cypress			0	Brand		??
	brand-visa	payment, card, method, pay	Płatność, karta, metoda, zapłata	1	Brand
	brand-vsco	photography, image, application	Fotografia, obraz, aplikacja	1	Brand
	brand-vscode	code, editor, software	kod, edytor, oprogramowanie	1	Brand
	brand-webflow	web, website, creation	Internet, strona internetowa, tworzenie	1	Brand
	brand-wix	logo, maker, web, website	Logo, twórca, internet, strona internetowa	1	Brand
	brand-wordpress	logotype, web, website, glyph, social	Logotyp, Internet, strona internetowa, glif, społeczności	1	Brand
	brand-xbox	game, console, videogame, controller	gra, konsola, gra wideo, kontroler	1	Brand
	brand-zeit	consulting, software	Konsultacje, oprogramowanie	1	Brand
	bus-stop	transport, station, city, travel	Transport, stacja, miasto, podróż	1	Vehicles
	chair-director	film, seat, furniture, interior	Film, siedzenie, meble, wnętrze	1
	chalkboard	school, classroom, education, learn	szkoła, klasa, edukacja, naucz	1	Document
	chart-treemap	diagram, analytics, buisness, data	Diagram, analityka, buzness, dane	1
	chess	game, strategy, pawn, figure	gra, strategia, pionek, figura	1	Sport
	chisel	tool, equipment, work, wood	narzędzie, sprzęt, praca, drewno	1
	clipboard-copy	duplicate, paste, document, task 	duplikat, wklej, dokument, zadanie	1	Document
	clipboard-heart	medical, health, healthcare, medicine, hospital	medycyna, zdrowie, opieka zdrowotna, medycyna, szpital	1	Document
	clipboard-typography	document, list, raport, paper	Dokument, lista, raport, papier	1	Document
	clock-hour-1	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-10	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-11	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-12	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-2	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-3	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-4	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-5	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-6	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-7	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-8	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	clock-hour-9	time, watch, timer, alarm, minutes, seconds	czas, zegarek, timer, alarm, minuty, sekundy	1	System
	code-asterix	coding, programming, html	Kodowanie, programowanie, HTML	1	Text
	currency-dollar-brunei	exchange, buisness, commerce	Wymiana, Buisness, handel	1	Currencies
	currency-dollar-guyanese	exchange, buisness, commerce	Wymiana, Buisness, handel	1	Currencies
	currency-dollar-zimbabwean	exchange, buisness, commerce	Wymiana, Buisness, handel	1	Currencies
	currency-dong	vietnam, exchange, finance, money, cash	Wietnam, wymiana, finanse, pieniądze, gotówka	1	Currencies
	currency-dram	exchange, finance, money, cash, armenia	Wymiana, finanse, pieniądze, gotówka, armenia	1	Currencies
	currency-guarani	exchange, finance, money, cash, paraguay	Wymiana, finanse, pieniądze, gotówka, paragwaj	1	Currencies
	currency-hryvnia	exchange, finance, money, cash, ukraine	Wymiana, finanse, pieniądze, gotówka, Ukraina	1	Currencies
	currency-kip	exchange, finance, money, cash, laos	Wymiana, finanse, pieniądze, gotówka, Laos	1	Currencies
	currency-lari	exchange, finance, money, cash, georgia	Wymiana, finanse, pieniądze, gotówka, Georgia	1	Currencies
	currency-lyd	exchange, finance, money, cash, libya	Wymiana, finanse, pieniądze, gotówka, Libia	1	Currencies
